농업기상관측자료 다운로드(일 자료),,,,,,,,
도명,지점명,날짜,기온,최고기온,최저기온,습도,풍속,일사량
전북특별자치도,완주군 이서면,2024-01-23,-6.9,-5,-8.3,72.8,1.8,7
전북특별자치도,완주군 이서면,2024-01-24,-5.3,-1.7,-9.3,62.7,1.7,13.5
전북특별자치도,완주군 이서면,2024-01-25,-4.5,0.4,-9.5,69.1,0.7,13.6
전북특별자치도,완주군 이서면,2024-01-26,-0.4,5.1,-7,69.9,0.7,10.2
전북특별자치도,완주군 이서면,2024-01-27,1.4,6.3,-3.5,66.6,0.6,13.2
전북특별자치도,완주군 이서면,2024-01-28,-0.3,4.9,-5.3,73.5,0.7,9.8
전북특별자치도,완주군 이서면,2024-01-29,-0.3,5.1,-4.2,71.9,0.6,13.4
전북특별자치도,완주군 이서면,2024-01-30,0.9,9.8,-6,70.3,0.4,13.8
전북특별자치도,완주군 이서면,2024-01-31,6.9,12.8,2.8,64.7,1,10.3
전북특별자치도,완주군 이서면,2024-02-01,5.3,8.5,3.3,64.8,1.4,6.2
전북특별자치도,완주군 이서면,2024-02-02,2.9,7.6,-1.8,73.9,1.6,11
전북특별자치도,완주군 이서면,2024-02-03,3.8,9.4,-2.1,82.3,0.4,4.6
전북특별자치도,완주군 이서면,2024-02-04,7.1,12.2,3.2,81.8,0.6,10
전북특별자치도,완주군 이서면,2024-02-05,5.8,7,4.8,88.9,1.4,3.2
전북특별자치도,완주군 이서면,2024-02-06,3.9,5.8,2.1,86.1,0.8,3.6
전북특별자치도,완주군 이서면,2024-02-07,1,5.2,-3,71.2,0.7,13.9
전북특별자치도,완주군 이서면,2024-02-08,-0.1,5.5,-5.1,78.4,0.6,14.2
전북특별자치도,완주군 이서면,2024-02-09,0.2,6.5,-4.7,74.9,0.9,14.9
전북특별자치도,완주군 이서면,2024-02-10,1.7,8.8,-4.6,74.1,0.9,13.9
전북특별자치도,완주군 이서면,2024-02-11,1.1,7.9,-4.6,75.2,1.3,10.7
전북특별자치도,완주군 이서면,2024-02-12,3.3,12.2,-4.3,65,0.8,16.4
전북특별자치도,완주군 이서면,2024-02-13,10.6,17.5,2.4,60.3,2.1,15.2
전북특별자치도,완주군 이서면,2024-02-14,14.1,18.7,9.8,74.8,1.7,8.8
전북특별자치도,완주군 이서면,2024-02-15,6,11.5,-0.7,86.1,1.4,1.9
전북특별자치도,완주군 이서면,2024-02-16,2.1,9.5,-4.1,74.6,0.6,17
전북특별자치도,완주군 이서면,2024-02-17,4.9,14.1,-2.6,74.6,0.6,17
전북특별자치도,완주군 이서면,2024-02-18,8.9,15.5,-1.8,82.9,2.3,3.5
전북특별자치도,완주군 이서면,2024-02-19,11.2,16,4.6,94.5,1.7,1.4
전북특별자치도,완주군 이서면,2024-02-20,6.2,8.1,4.5,92.4,0.5,1.6
전북특별자치도,완주군 이서면,2024-02-21,6.6,8,5.1,90.6,1.6,2.1
전북특별자치도,완주군 이서면,2024-02-22,4.5,5.4,3.7,89.9,1.4,3
전북특별자치도,완주군 이서면,2024-02-23,4.5,20.2,-9.9,82.1,1.3,5.4
전북특별자치도,완주군 이서면,2024-02-24,4.6,8.1,1.7,72,1.2,8.1
전북특별자치도,완주군 이서면,2024-02-25,3.8,6.4,1.8,87.9,0.8,5.5
전북특별자치도,완주군 이서면,2024-02-26,3.2,9.8,-1.9,82.4,0.7,16.6
전북특별자치도,완주군 이서면,2024-02-27,6,12.3,-0.2,65,1.2,13.1
전북특별자치도,완주군 이서면,2024-02-28,8,13.6,2.4,54.8,1.5,16.4
전북특별자치도,완주군 이서면,2024-02-29,6.1,8.3,3,77.7,0.9,4.4
전북특별자치도,완주군 이서면,2024-03-01,-1,3.5,-5.4,50,2.6,19.8
전북특별자치도,완주군 이서면,2024-03-02,-0.6,5.4,-7.5,59.7,1.6,19.3
전북특별자치도,완주군 이서면,2024-03-03,6.1,11.4,2.4,74.3,2,12.1
전북특별자치도,완주군 이서면,2024-03-04,7.8,13.5,1.2,72.2,0.6,12.9
전북특별자치도,완주군 이서면,2024-03-05,7.5,10,5.7,79.3,2,2.5
전북특별자치도,완주군 이서면,2024-03-06,8,13.5,2.6,71,1.9,17
전북특별자치도,완주군 이서면,2024-03-07,4,7.8,-1.5,68.9,1.8,14
전북특별자치도,완주군 이서면,2024-03-08,3,8.6,-1.9,62,2.2,20.8
전북특별자치도,완주군 이서면,2024-03-09,1,7.3,-4.9,65,1,21
전북특별자치도,완주군 이서면,2024-03-10,2.9,12,-4.9,60.5,0.8,21.2
전북특별자치도,완주군 이서면,2024-03-11,5.7,12.7,-2.8,66.3,1.3,10.1
전북특별자치도,완주군 이서면,2024-03-12,5.4,11.2,-0.4,83.4,1.4,9.9
전북특별자치도,완주군 이서면,2024-03-13,5,12.5,-1.6,68.9,1.3,21.7
전북특별자치도,완주군 이서면,2024-03-14,6.3,14.6,-0.6,69.1,1.1,20.8
전북특별자치도,완주군 이서면,2024-03-15,7.1,16.7,-1.5,63.8,0.9,22
전북특별자치도,완주군 이서면,2024-03-16,9.3,20.3,-0.7,54.5,1,19.1
전북특별자치도,완주군 이서면,2024-03-17,9.5,15.2,2.1,66.7,1.7,17.1
전북특별자치도,완주군 이서면,2024-03-18,6.2,15.2,-2.2,57.8,1.1,21.7
전북특별자치도,완주군 이서면,2024-03-19,7.2,12.9,3.8,65.6,2.7,9.4
전북특별자치도,완주군 이서면,2024-03-20,4.6,9.4,-1.7,53.4,2.4,22.2
전북특별자치도,완주군 이서면,2024-03-21,3.5,11.2,-3.7,63.3,0.9,22.7
전북특별자치도,완주군 이서면,2024-03-22,11.7,18.8,0.6,56.1,3.3,16.7
전북특별자치도,완주군 이서면,2024-03-23,15.1,21.8,10.7,67.3,1.5,19.8
전북특별자치도,완주군 이서면,2024-03-24,15,19.5,10.5,61.4,1,7.1
전북특별자치도,완주군 이서면,2024-03-25,12.3,16.1,8.6,75.5,1.6,4.1
전북특별자치도,완주군 이서면,2024-03-26,9.1,14.1,5.9,83.6,1.8,15.7
전북특별자치도,완주군 이서면,2024-03-27,10.3,17,5.1,79.5,1,18.3
전북특별자치도,완주군 이서면,2024-03-28,10.2,11.2,8.8,93.3,0.9,2.1
전북특별자치도,완주군 이서면,2024-03-29,9.6,15.4,3.8,84.9,2,8.1
전북특별자치도,완주군 이서면,2024-03-30,10.4,18.8,2.6,73,1.5,11.5
전북특별자치도,완주군 이서면,2024-03-31,10.9,20.1,2.4,65,1,21.6
전북특별자치도,완주군 이서면,2024-04-01,11.8,21.6,2.1,61,0.6,24.2
전북특별자치도,완주군 이서면,2024-04-02,15,23.2,5.6,62.8,1.3,17.6
전북특별자치도,완주군 이서면,2024-04-03,14.4,15.7,13.1,95.3,0.8,4.3
전북특별자치도,완주군 이서면,2024-04-04,13.7,16.5,11.2,94,0.4,3.7
전북특별자치도,완주군 이서면,2024-04-05,13,18.1,8.5,84.7,0.7,14.3
전북특별자치도,완주군 이서면,2024-04-06,12,19.5,7.2,73.8,0.6,15.7
전북특별자치도,완주군 이서면,2024-04-07,13.6,23.9,5.1,63.6,0.8,23.7
전북특별자치도,완주군 이서면,2024-04-08,14.1,22.3,6.3,64.3,1,13.4
전북특별자치도,완주군 이서면,2024-04-09,13.3,22.5,5.9,73.7,1,24
전북특별자치도,완주군 이서면,2024-04-10,14.1,20.7,7.9,71.9,0.8,21.4
전북특별자치도,완주군 이서면,2024-04-11,15.9,22.2,11.1,70,0.9,20.7
전북특별자치도,완주군 이서면,2024-04-12,16.9,24.3,9.4,70.3,1.1,23.4
전북특별자치도,완주군 이서면,2024-04-13,17.3,27.3,9.4,67.5,1,25.3
전북특별자치도,완주군 이서면,2024-04-14,19.5,27.8,9,54.5,1.6,23.3
전북특별자치도,완주군 이서면,2024-04-15,17.5,21.7,12.3,77.5,2.5,3
전북특별자치도,완주군 이서면,2024-04-16,14.2,19.8,10.8,86.7,1.4,17.4
전북특별자치도,완주군 이서면,2024-04-17,15,22.6,10.2,69.8,1.2,23.2
전북특별자치도,완주군 이서면,2024-04-18,14.7,23.7,7,68.2,1.1,25.4
전북특별자치도,완주군 이서면,2024-04-19,16.6,25.5,6.5,53.9,0.8,25.2
전북특별자치도,완주군 이서면,2024-04-20,15.5,18.8,14,77.8,1,3.7
전북특별자치도,완주군 이서면,2024-04-21,17,20,14.8,83,0.5,7.4
전북특별자치도,완주군 이서면,2024-04-22,17.1,21.6,12.4,84,0.5,11.4
전북특별자치도,완주군 이서면,2024-04-23,15.2,22.9,9.1,76.2,1.1,17.3
전북특별자치도,완주군 이서면,2024-04-24,13.6,16.8,9.7,84.1,1.9,13.8
전북특별자치도,완주군 이서면,2024-04-25,15.2,23.8,10.1,72.4,0.9,27
전북특별자치도,완주군 이서면,2024-04-26,15.7,25.6,8.4,73.4,0.8,21.4
전북특별자치도,완주군 이서면,2024-04-27,16.6,26.2,7.8,69.3,1.1,28.2
전북특별자치도,완주군 이서면,2024-04-28,18.3,29.1,8.5,65.2,0.9,24.3
전북특별자치도,완주군 이서면,2024-04-29,17.8,20.6,16.1,82.9,0.8,6.8
전북특별자치도,완주군 이서면,2024-04-30,15.2,18.5,11.8,82.8,1.6,16.4
전북특별자치도,완주군 이서면,2024-05-01,15.3,20.8,10.8,80.7,1.1,13.4
전북특별자치도,완주군 이서면,2024-05-02,16.1,23.5,10.9,79.9,1.1,23.7
전북특별자치도,완주군 이서면,2024-05-03,16.5,26.8,8.2,67.5,0.8,28.7
전북특별자치도,완주군 이서면,2024-05-04,19.8,27.8,9.6,62.1,0.8,24.5
전북특별자치도,완주군 이서면,2024-05-05,19.8,21.7,16.6,86.1,2.6,2.6
전북특별자치도,완주군 이서면,2024-05-06,15.8,17.7,14.5,86,2.6,6
전북특별자치도,완주군 이서면,2024-05-07,14.2,15.4,12.7,92.9,1.5,3.7
전북특별자치도,완주군 이서면,2024-05-08,15.1,20.6,10.7,67.4,1.6,29.1
전북특별자치도,완주군 이서면,2024-05-09,14.9,22.3,7.9,64.9,1,28.5
전북특별자치도,완주군 이서면,2024-05-10,16.8,26.2,9.3,63.6,1.1,28.4
전북특별자치도,완주군 이서면,2024-05-11,19.6,25.6,11.5,71.2,2.2,15.7
전북특별자치도,완주군 이서면,2024-05-12,16.9,22.4,10.5,70.1,1.4,27
전북특별자치도,완주군 이서면,2024-05-13,16.4,24.6,8.3,66.6,1.1,29.9
전북특별자치도,완주군 이서면,2024-05-14,17.1,25.1,8.7,61.8,0.8,29.6
전북특별자치도,완주군 이서면,2024-05-15,13.8,23,8.2,74.8,1.9,21
전북특별자치도,완주군 이서면,2024-05-16,14.1,20.2,7.7,70.7,2.2,29
전북특별자치도,완주군 이서면,2024-05-17,18.6,26.7,12,58.7,1.5,27.7
전북특별자치도,완주군 이서면,2024-05-18,20.2,28.4,12.2,65,1.1,29.2
전북특별자치도,완주군 이서면,2024-05-19,20.7,30.3,13.6,66,1,29.8
전북특별자치도,완주군 이서면,2024-05-20,19.2,26.4,11.3,70,0.9,26.1
전북특별자치도,완주군 이서면,2024-05-21,19.8,28.4,14,79.6,1.1,25.9
전북특별자치도,완주군 이서면,2024-05-22,20.9,28.6,15.3,77.7,1.1,26.9
전북특별자치도,완주군 이서면,2024-05-23,20.7,28.6,14.9,74.2,1.2,28.5
전북특별자치도,완주군 이서면,2024-05-24,19.1,27,14.7,78.7,1.3,26
전북특별자치도,완주군 이서면,2024-05-25,20.6,25.7,15.9,79.5,0.6,15.3
전북특별자치도,완주군 이서면,2024-05-26,21.5,27.1,14.7,71.8,1.9,16.8
전북특별자치도,완주군 이서면,2024-05-27,18.5,23,13.7,70.9,1.9,24.7
전북특별자치도,완주군 이서면,2024-05-28,18.7,25.7,11.3,66.1,1.1,26.6
전북특별자치도,완주군 이서면,2024-05-29,20.4,27.9,11.7,64.9,0.8,29.6
전북특별자치도,완주군 이서면,2024-05-30,20.8,27.1,15.2,62.5,0.8,13.8
전북특별자치도,완주군 이서면,2024-05-31,20.5,25.6,15.8,65,1.1,28.9
전북특별자치도,완주군 이서면,2024-06-01,19.4,24.9,15.3,70.7,1.8,23.2
전북특별자치도,완주군 이서면,2024-06-02,19.6,26.3,12.5,64.6,1.3,29.5
전북특별자치도,완주군 이서면,2024-06-03,20.4,28.3,11.9,63.3,1.1,30.9
전북특별자치도,완주군 이서면,2024-06-04,20.6,28.1,14.9,73.6,0.9,28.7
전북특별자치도,완주군 이서면,2024-06-05,21.6,28.9,16,74.2,1,23.8
전북특별자치도,완주군 이서면,2024-06-06,21.5,28.4,16.3,69.8,1.1,26
전북특별자치도,완주군 이서면,2024-06-07,21.9,28.9,14.6,62.5,0.9,22.3
전북특별자치도,완주군 이서면,2024-06-08,21.2,24.5,19.1,83.1,1.1,10.7
전북특별자치도,완주군 이서면,2024-06-09,23.1,29.3,17.8,75.1,1,25.7
전북특별자치도,완주군 이서면,2024-06-10,24.1,32.3,15.4,67.8,1.4,27.5
전북특별자치도,완주군 이서면,2024-06-11,24.5,31.6,18.1,65,1,27.7
전북특별자치도,완주군 이서면,2024-06-12,24.5,33.3,17,61.8,1.1,29.9
전북특별자치도,완주군 이서면,2024-06-13,25,33.6,16.8,58.3,1.2,29.8
전북특별자치도,완주군 이서면,2024-06-14,25.4,33.6,18.3,62.2,1.1,28.2
전북특별자치도,완주군 이서면,2024-06-15,25.4,30.4,20.2,69.8,1.5,23
전북특별자치도,완주군 이서면,2024-06-16,24,29.1,19.6,70.8,1.7,28.4
전북특별자치도,완주군 이서면,2024-06-17,22.7,28.2,16.7,71.9,0.4,16.5
전북특별자치도,완주군 이서면,2024-06-18,23.8,32.8,15.1,64.6,1,30.2
전북특별자치도,완주군 이서면,2024-06-19,25.9,36.4,17.3,59.8,1,26.2
전북특별자치도,완주군 이서면,2024-06-20,23.9,28.8,18,65.5,0.9,14.7
전북특별자치도,완주군 이서면,2024-06-21,26,32.3,19.4,65.1,1,26.6
전북특별자치도,완주군 이서면,2024-06-22,24.7,25.6,23.1,87.1,1.5,4.5
전북특별자치도,완주군 이서면,2024-06-23,24.2,27.9,22.4,89.1,1.5,8.5
전북특별자치도,완주군 이서면,2024-06-24,24.6,29.9,21,78.2,1.8,19.7
전북특별자치도,완주군 이서면,2024-06-25,23.1,28,17.2,67.2,1.1,25.3
전북특별자치도,완주군 이서면,2024-06-26,24.1,30.7,18.1,70.2,0.9,27.5
전북특별자치도,완주군 이서면,2024-06-27,23.3,27.5,18.4,71.1,0.6,11.7
전북특별자치도,완주군 이서면,2024-06-28,25.1,31.9,17.5,66.7,0.9,28.8
전북특별자치도,완주군 이서면,2024-06-29,24.6,29,20.7,82.7,1.8,9.5
전북특별자치도,완주군 이서면,2024-06-30,24.7,27,23.7,93.1,1.9,4.1
전북특별자치도,완주군 이서면,2024-07-01,26.1,31.3,22.9,80.6,0.8,22.8
전북특별자치도,완주군 이서면,2024-07-02,27.8,32,22.9,79.4,2,10.4
전북특별자치도,완주군 이서면,2024-07-03,26.9,31,22.9,79.9,2.1,23.7
전북특별자치도,완주군 이서면,2024-07-04,27.9,33.3,21.4,75.3,1,24.6
전북특별자치도,완주군 이서면,2024-07-05,26.6,30.3,24.1,76.6,1.6,22.6
전북특별자치도,완주군 이서면,2024-07-06,29,33.1,25.2,74.6,1.8,20
전북특별자치도,완주군 이서면,2024-07-07,28,30.8,25.5,84.5,0.8,8.7
전북특별자치도,완주군 이서면,2024-07-08,26.4,27.7,22.8,92.8,0.6,3.6
전북특별자치도,완주군 이서면,2024-07-09,24.4,26.1,22.8,95.7,1.2,2.6
전북특별자치도,완주군 이서면,2024-07-10,24.5,26.9,22.4,93.6,1.8,4.4
전북특별자치도,완주군 이서면,2024-07-11,24.7,27.8,22.8,85.6,0.6,10.8
전북특별자치도,완주군 이서면,2024-07-12,25.6,30.8,21.8,82.9,0.5,19.5
전북특별자치도,완주군 이서면,2024-07-13,26.6,31.3,21.8,78.1,0.7,21.3
전북특별자치도,완주군 이서면,2024-07-14,27.2,31.2,23.8,76.5,1,20.8
전북특별자치도,완주군 이서면,2024-07-15,27.2,32.6,23.6,78.8,0.6,19.9
전북특별자치도,완주군 이서면,2024-07-16,26.2,29.5,24.1,84.6,1.1,8.4
전북특별자치도,완주군 이서면,2024-07-17,28,31.4,24.5,79.5,0.9,15.8
전북특별자치도,완주군 이서면,2024-07-18,27.5,29.4,23.9,82.2,1.7,7.6
전북특별자치도,완주군 이서면,2024-07-19,26.1,30,23.9,88.7,0.5,12.6
전북특별자치도,완주군 이서면,2024-07-20,27.1,32.7,22.7,83.6,1.3,15.1
전북특별자치도,완주군 이서면,2024-07-21,28.9,33.6,25.5,81.2,1.2,22.2
전북특별자치도,완주군 이서면,2024-07-22,29.6,33.2,25.9,74,0.7,18.9
전북특별자치도,완주군 이서면,2024-07-23,28.8,31.2,26.6,79.2,0.3,7.6
전북특별자치도,완주군 이서면,2024-07-24,28.2,34.2,25.3,85.9,0.5,20.1
전북특별자치도,완주군 이서면,2024-07-25,29.1,34.6,25.2,80.8,0.2,20
전북특별자치도,완주군 이서면,2024-07-26,28.8,33.1,25.5,80.2,0.9,17.9
전북특별자치도,완주군 이서면,2024-07-27,29.1,32,26.9,82,0.6,14.7
전북특별자치도,완주군 이서면,2024-07-28,30.3,35,26.3,71.2,0.8,26.7
전북특별자치도,완주군 이서면,2024-07-29,28.7,33.5,24.3,77.7,0.9,26.9
전북특별자치도,완주군 이서면,2024-07-30,28.9,33.2,25.2,78.8,0.3,23.4
전북특별자치도,완주군 이서면,2024-07-31,29.6,35.1,24.9,79.4,0.1,23.6
전북특별자치도,완주군 이서면,2024-08-01,30.3,35.3,26,76.4,0.1,22.2
전북특별자치도,완주군 이서면,2024-08-02,30.5,34.7,26.9,80.4,0.2,21.3
전북특별자치도,완주군 이서면,2024-08-03,30.8,35.6,27.8,80.4,0.1,21.8
전북특별자치도,완주군 이서면,2024-08-04,30.7,35.8,26.6,77.7,0.1,25.2
전북특별자치도,완주군 이서면,2024-08-05,28.2,34.1,24.5,86.4,0.2,10.1
전북특별자치도,완주군 이서면,2024-08-06,29.3,34.7,24.8,80.7,0.1,25.7
전북특별자치도,완주군 이서면,2024-08-07,29.9,35.2,26.3,79.6,0.1,20.5
전북특별자치도,완주군 이서면,2024-08-08,27.7,31.2,24.8,85,0.1,15.4
전북특별자치도,완주군 이서면,2024-08-09,28.8,34.2,24.3,79.5,0,26.3
전북특별자치도,완주군 이서면,2024-08-10,29.9,35.4,25.2,75.2,0.1,25
전북특별자치도,완주군 이서면,2024-08-11,30.2,35.6,24.8,71.8,0.1,26.2
전북특별자치도,완주군 이서면,2024-08-12,30.4,35.5,25.8,74.4,0.1,23.4
전북특별자치도,완주군 이서면,2024-08-13,30.9,35.6,27.2,74,0.1,24.3
전북특별자치도,완주군 이서면,2024-08-14,30.5,36,25.9,71,0.1,25.5
전북특별자치도,완주군 이서면,2024-08-15,28.7,35.3,25.1,79.1,0.4,22.8
전북특별자치도,완주군 이서면,2024-08-16,27.7,33.4,24.5,82.9,0.3,18.1
전북특별자치도,완주군 이서면,2024-08-17,27.8,34.2,24.7,83.9,0.2,16
전북특별자치도,완주군 이서면,2024-08-18,27.9,34.1,24.8,84.5,0.1,19.3
전북특별자치도,완주군 이서면,2024-08-19,29.6,35,24.8,77.2,0.1,24.5
전북특별자치도,완주군 이서면,2024-08-20,30,34.8,26.1,78.4,0.6,18.5
전북특별자치도,완주군 이서면,2024-08-21,29.5,33.4,26.5,83.9,0.6,13.5
전북특별자치도,완주군 이서면,2024-08-22,28.9,32.8,25.6,82.1,1.2,16.2
전북특별자치도,완주군 이서면,2024-08-23,28.1,33.4,23.7,81,0.5,22.3
전북특별자치도,완주군 이서면,2024-08-24,28.6,33.9,24.8,79.3,0.3,19.4
전북특별자치도,완주군 이서면,2024-08-25,28.1,33,24.1,81.5,0.2,16
전북특별자치도,완주군 이서면,2024-08-26,28.5,33.9,24,77.6,0.4,21.5
전북특별자치도,완주군 이서면,2024-08-27,27.8,31.4,25.3,81.5,0.3,9.4
전북특별자치도,완주군 이서면,2024-08-28,28.6,34,22.3,67.7,1.1,22.8
전북특별자치도,완주군 이서면,2024-08-29,28.5,34.5,21.7,69.4,1,22
전북특별자치도,완주군 이서면,2024-08-30,28.1,34.4,22.8,72.7,0.6,25
전북특별자치도,완주군 이서면,2024-08-31,26.3,32.2,21,77.1,0.1,22.9
전북특별자치도,완주군 이서면,2024-09-01,26.8,32.3,21.8,75.7,0.3,21
전북특별자치도,완주군 이서면,2024-09-02,25.9,29.8,21.4,77.4,0.1,12.9
전북특별자치도,완주군 이서면,2024-09-03,27.2,32.5,23.2,75,0.1,12.9
전북특별자치도,완주군 이서면,2024-09-04,27.4,33.8,21.5,65.1,0.6,24.1
전북특별자치도,완주군 이서면,2024-09-05,27.2,32.9,21.5,75.6,1.3,21.9
전북특별자치도,완주군 이서면,2024-09-06,26.3,29.6,23.9,85.2,0.8,6.4
전북특별자치도,완주군 이서면,2024-09-07,26.8,32.1,22.9,82.7,0.9,13
전북특별자치도,완주군 이서면,2024-09-08,26.6,33.5,21.7,76,1,22.9
전북특별자치도,완주군 이서면,2024-09-09,28.1,34.2,22.7,75.4,1,18.1
전북특별자치도,완주군 이서면,2024-09-10,29.4,36,23.8,74,1,22.6
전북특별자치도,완주군 이서면,2024-09-11,28.1,35.4,25.9,84.6,0.8,11.1
전북특별자치도,완주군 이서면,2024-09-12,27.8,32.9,25.1,87.6,0.8,11.1
전북특별자치도,완주군 이서면,2024-09-13,28.3,34.6,23.9,79.7,1.1,21.1
전북특별자치도,완주군 이서면,2024-09-14,28.6,34.1,24.4,78,0.9,20.8
전북특별자치도,완주군 이서면,2024-09-15,29,35.3,24.1,80.5,0.9,21.7
전북특별자치도,완주군 이서면,2024-09-16,28.6,33,24.3,80.1,0.6,9.7
전북특별자치도,완주군 이서면,2024-09-17,29.4,35.7,25,78.6,1.2,22.1
전북특별자치도,완주군 이서면,2024-09-18,28.7,35.6,24.2,80.4,1.1,18.5
전북특별자치도,완주군 이서면,2024-09-19,29.6,35.8,24.5,75.2,1,19.5
전북특별자치도,완주군 이서면,2024-09-20,26.6,28.5,24.9,90.4,1.4,4
전북특별자치도,완주군 이서면,2024-09-21,24.7,26.9,21.4,96,1.1,2.3
전북특별자치도,완주군 이서면,2024-09-22,22.6,26.5,20,84,1.1,9.7
전북특별자치도,완주군 이서면,2024-09-23,22.9,28.2,19.4,66.3,1.3,19.3
전북특별자치도,완주군 이서면,2024-09-24,21.5,27.7,17,65.6,1,19.5
전북특별자치도,완주군 이서면,2024-09-25,22.7,28.3,18.1,76.7,0.9,13.9
전북특별자치도,완주군 이서면,2024-09-26,24.2,29.7,19.6,79.5,0.9,18.1
전북특별자치도,완주군 이서면,2024-09-27,23.1,28.9,19.1,80.2,0.8,18.8
전북특별자치도,완주군 이서면,2024-09-28,24.1,30.8,18.3,72.1,1.3,18
전북특별자치도,완주군 이서면,2024-09-29,23.2,30.2,17.6,71.1,1.2,19.6
전북특별자치도,완주군 이서면,2024-09-30,21.5,28.9,15,68.6,0.8,20.1
전북특별자치도,완주군 이서면,2024-10-01,18.5,25.2,12.9,82.5,1.1,5.1
전북특별자치도,완주군 이서면,2024-10-02,14.7,20.3,9.4,66.8,1.3,18.4
전북특별자치도,완주군 이서면,2024-10-03,12.6,16.3,8.6,88.8,1,5.2
전북특별자치도,완주군 이서면,2024-10-04,15.7,24.2,9.1,80.3,0.8,19.9
전북특별자치도,완주군 이서면,2024-10-05,16.8,24.7,10.2,76.4,0.7,19
전북특별자치도,완주군 이서면,2024-10-06,16.7,20.1,13,88.3,0.6,5
전북특별자치도,완주군 이서면,2024-10-07,17.3,20.6,14.5,86,0.7,9.1
전북특별자치도,완주군 이서면,2024-10-08,16.8,23.2,12.4,83.9,0.8,14.6
전북특별자치도,완주군 이서면,2024-10-09,17.7,25.1,11.3,78.3,0.7,16
전북특별자치도,완주군 이서면,2024-10-10,18.6,24.4,14.3,77.4,0.9,16.9
전북특별자치도,완주군 이서면,2024-10-11,17.6,25.2,11.5,76.6,0.7,18
전북특별자치도,완주군 이서면,2024-10-12,17.3,25,11.2,76.9,0.6,17.5
전북특별자치도,완주군 이서면,2024-10-13,17.4,24.7,10,76.6,0.6,12.5
전북특별자치도,완주군 이서면,2024-10-14,18.5,22.1,15.1,87.4,1,4
전북특별자치도,완주군 이서면,2024-10-15,19.9,22.7,17.1,94.5,0.6,4.1
전북특별자치도,완주군 이서면,2024-10-16,19.5,25,16.1,88.4,0.8,14.3
전북특별자치도,완주군 이서면,2024-10-17,19,26.9,14.6,81.2,0.7,13.6
전북특별자치도,완주군 이서면,2024-10-18,21.6,26.3,15.2,85.9,1.6,5
전북특별자치도,완주군 이서면,2024-10-19,19.5,23.9,16.3,85.5,2.2,3.8
전북특별자치도,완주군 이서면,2024-10-20,14.7,19.3,8,62.5,2.5,14.9
전북특별자치도,완주군 이서면,2024-10-21,14.4,20,7.5,83.6,0.8,7.6
전북특별자치도,완주군 이서면,2024-10-22,17.9,20.8,16,96.3,1.1,3.7
전북특별자치도,완주군 이서면,2024-10-23,14.8,18.3,8.6,74.6,2.1,11.4
전북특별자치도,완주군 이서면,2024-10-24,11.8,19.3,5.3,76.9,1,16.9
전북특별자치도,완주군 이서면,2024-10-25,13.4,21.5,5.2,80.4,0.6,12.5
전북특별자치도,완주군 이서면,2024-10-26,16.5,25,8.8,77.3,0.8,16.5
전북특별자치도,완주군 이서면,2024-10-27,15.7,19.5,11.8,89.2,0.6,4.6
전북특별자치도,완주군 이서면,2024-10-28,15.3,19,10.2,88.2,0.6,8.6
